online_order,book_table,rate,location,rest_type,cuisines,type,cost_per_person
No,No,3.9,Frazer Town,Cafe,"Cafe, Continental, Beverages, Fast Food",Cafes,550.0
Yes,No,3.7,Frazer Town,Cafe,"Cafe, Fast Food",Cafes,175.0
No,No,4.1,Frazer Town,"Quick Bites, Bakery","Cafe, Bakery",Cafes,350.0
Yes,No,3.8,Frazer Town,Cafe,"Cafe, Continental",Cafes,350.0
Yes,No,3.700448817952718,Frazer Town,Cafe,Cafe,Cafes,200.0
Yes,No,3.1,Frazer Town,Cafe,"Cafe, Fast Food",Cafes,450.0
Yes,No,3.7,Frazer Town,Cafe,Cafe,Cafes,225.0
Yes,No,4.1,Frazer Town,"Bakery, Cafe","Bakery, Cafe",Cafes,175.0
No,No,2.9,Frazer Town,Cafe,"Cafe, Continental",Cafes,300.0
No,No,3.700448817952718,Commercial Street,"Dessert Parlor, Cafe","Desserts, Cafe",Cafes,300.0
Yes,No,3.4,Shivajinagar,Cafe,Cafe,Cafes,150.0
No,No,3.5,Commercial Street,Cafe,"Cafe, Desserts",Cafes,350.0
No,No,3.7,Shivajinagar,Cafe,Cafe,Cafes,25.0
Yes,No,3.700448817952718,Shivajinagar,"Cafe, Bakery","Cafe, Bakery",Cafes,200.0
Yes,No,3.3,Commercial Street,Cafe,Cafe,Cafes,200.0
Yes,Yes,4.7,Cunningham Road,"Pub, Cafe","North Indian, Thai, Japanese, Continental, Cafe",Cafes,650.0
Yes,Yes,4.3,MG Road,Cafe,"Cafe, Continental, Italian, Burger",Cafes,600.0
No,No,4.0,Vasanth Nagar,"Cafe, Dessert Parlor","Cafe, Desserts, Beverages",Cafes,550.0
Yes,No,4.3,Cunningham Road,"Cafe, Dessert Parlor","Cafe, Desserts",Cafes,375.0
No,No,4.2,Ulsoor,Cafe,"Cafe, Salad, Desserts, Pizza",Cafes,375.0
Yes,No,4.3,Ulsoor,Cafe,"Cafe, Continental, Italian, Burger, Beverages",Cafes,350.0
Yes,No,4.1,Vasanth Nagar,Cafe,"Cafe, Italian",Cafes,150.0
Yes,Yes,4.3,Cunningham Road,"Casual Dining, Cafe","Continental, Cafe, Desserts, Salad, Momos",Cafes,500.0
Yes,No,4.2,Cunningham Road,Cafe,"Cafe, Continental, Italian, Burger",Cafes,375.0
Yes,No,3.9,Ulsoor,"Cafe, Casual Dining","Cafe, American, Continental, Steak",Cafes,400.0
Yes,Yes,4.1,Ulsoor,Cafe,"Cafe, Italian, Burger, American, Steak",Cafes,325.0
Yes,No,4.3,Infantry Road,Cafe,"Cafe, Fast Food, Burger",Cafes,400.0
Yes,No,3.6,Infantry Road,"Cafe, Casual Dining","Cafe, Burger, Italian, Fast Food",Cafes,325.0
No,No,4.0,Ulsoor,Cafe,"Cafe, Italian, Coffee",Cafes,375.0
Yes,No,3.7,Ulsoor,Cafe,"Cafe, Mediterranean, Italian, Pizza, Continental",Cafes,400.0
Yes,No,4.2,Ulsoor,"Cafe, Bakery","Cafe, Mediterranean, Bakery, Greek, Beverages",Cafes,350.0
No,No,4.2,Ulsoor,"Casual Dining, Cafe","Lebanese, Mediterranean, Cafe",Cafes,500.0
Yes,No,4.2,Vasanth Nagar,Cafe,"Cafe, Continental, Fast Food",Cafes,250.0
Yes,No,4.2,Ulsoor,Cafe,"Pizza, Italian, Cafe, Burger, Finger Food, Fast Food, Sandwich",Cafes,250.0
No,No,3.8,MG Road,"Beverage Shop, Quick Bites","Beverages, Cafe, Juices, Fast Food",Cafes,175.0
No,Yes,3.9,MG Road,Cafe,"Cafe, Continental, Italian",Cafes,400.0
Yes,No,3.8,Ulsoor,Casual Dining,"Beverages, Cafe, Desserts, Spanish, Bakery",Cafes,200.0
No,Yes,3.8,Ulsoor,Cafe,"Cafe, North Indian, Fast Food",Cafes,1100.0
No,No,3.4,Banaswadi,Cafe,"Cafe, Continental",Cafes,200.0
Yes,No,3.5,Cunningham Road,Cafe,"Cafe, Burger",Cafes,250.0
No,No,4.0,Vasanth Nagar,Cafe,"Cafe, Modern Indian, Pizza, Burger, Desserts",Cafes,550.0
Yes,No,3.8,Ulsoor,Cafe,"Cafe, Continental, Salad",Cafes,300.0
No,No,3.9,Banaswadi,Cafe,"Cafe, Fast Food",Cafes,225.0
Yes,No,3.8,Koramangala 5th Block,Cafe,Cafe,Cafes,250.0
No,No,3.700448817952718,Cunningham Road,Cafe,Cafe,Cafes,500.0
No,No,3.1,MG Road,Cafe,Cafe,Cafes,200.0
Yes,No,4.5,Indiranagar,Delivery,"Healthy Food, North Indian, Biryani, Continental, Sandwich, Desserts",Delivery,250.0
Yes,No,3.6,North Bangalore,Delivery,"Healthy Food, Chinese, Biryani, North Indian, Continental, Salad, American, Burger",Delivery,225.0
Yes,No,4.3,St. Marks Road,Quick Bites,"Burger, Turkish, Arabian, Fast Food, Salad, Healthy Food, Desserts",Delivery,250.0
Yes,No,3.1,Indiranagar,Delivery,"North Indian, Chinese, Italian",Delivery,250.0
Yes,No,4.0,Indiranagar,Quick Bites,"Burger, Fast Food, Beverages",Delivery,300.0
Yes,No,4.0,RT Nagar,Casual Dining,"North Indian, Mughlai, South Indian, Chinese",Delivery,375.0
Yes,No,4.1,Indiranagar,Quick Bites,Biryani,Delivery,150.0
Yes,No,3.7,Kammanahalli,Quick Bites,Arabian,Delivery,150.0
Yes,No,3.7,RT Nagar,Casual Dining,North Indian,Delivery,300.0
Yes,No,4.4,Kammanahalli,Quick Bites,"Middle Eastern, Fast Food, Rolls",Delivery,150.0
Yes,No,3.3,Ulsoor,Quick Bites,"North Indian, Chinese",Delivery,150.0
Yes,No,3.9,Frazer Town,Quick Bites,"North Indian, Mughlai, Rolls, Fast Food",Delivery,300.0
Yes,No,2.8,RT Nagar,Delivery,"North Indian, Chinese",Delivery,150.0
Yes,No,4.2,Vasanth Nagar,Delivery,Biryani,Delivery,325.0
Yes,No,3.9,Indiranagar,Delivery,"Mexican, Italian",Delivery,300.0
Yes,No,3.3,Ulsoor,Quick Bites,"North Indian, Chinese, South Indian",Delivery,175.0
Yes,No,3.4,Vasanth Nagar,"Takeaway, Delivery",North Indian,Delivery,100.0
Yes,No,3.9,Nagawara,Quick Bites,South Indian,Delivery,100.0
Yes,No,3.8,Jeevan Bhima Nagar,Quick Bites,North Indian,Delivery,200.0
Yes,No,4.0,Indiranagar,Quick Bites,"Fast Food, Rolls",Delivery,175.0
Yes,No,3.4,Kammanahalli,Quick Bites,"Seafood, BBQ, Burger, Biryani",Delivery,150.0
Yes,No,3.3,RT Nagar,Quick Bites,"North Indian, Chinese",Delivery,200.0
Yes,No,3.0,Indiranagar,"Takeaway, Delivery",Biryani,Delivery,300.0
Yes,No,3.9,Kammanahalli,Casual Dining,"Seafood, Biryani, South Indian, North Indian, Chinese, Arabian, Kerala",Delivery,400.0
Yes,No,3.8,Vasanth Nagar,Delivery,Pizza,Delivery,375.0
Yes,No,3.8,Frazer Town,Quick Bites,"Fast Food, Rolls, Momos",Delivery,125.0
Yes,No,2.9,Kammanahalli,"Takeaway, Delivery","Biryani, Kebab, Continental",Delivery,250.0
Yes,Yes,4.2,Indiranagar,Casual Dining,"Biryani, Chinese, North Indian, Seafood",Delivery,375.0
Yes,No,4.1,Indiranagar,Casual Dining,"Biryani, North Indian, Kebab",Delivery,400.0
Yes,Yes,4.4,Indiranagar,Casual Dining,"Seafood, Mangalorean",Delivery,500.0
Yes,No,3.3,Residency Road,Quick Bites,Biryani,Delivery,200.0
Yes,No,3.8,Vasanth Nagar,Delivery,"North Indian, Biryani, Fast Food",Delivery,250.0
Yes,No,3.3,Old Madras Road,Delivery,"Pizza, Chinese, Rolls",Delivery,375.0
Yes,No,3.5,Brigade Road,Quick Bites,"South Indian, Chinese",Delivery,75.0
Yes,No,3.5,Kammanahalli,Quick Bites,"Arabian, Chinese, North Indian",Delivery,250.0
Yes,No,2.7,Old Madras Road,Quick Bites,"Arabian, Mughlai, Chinese, Kebab, Fast Food",Delivery,200.0
Yes,No,4.0,Brigade Road,"Quick Bites, Dessert Parlor","Burger, Desserts, Fast Food",Delivery,275.0
Yes,No,3.0,Frazer Town,"Takeaway, Delivery","North Indian, Chinese, Rolls",Delivery,200.0
Yes,No,3.7,Ulsoor,Quick Bites,Arabian,Delivery,150.0
Yes,No,3.6,Indiranagar,"Takeaway, Delivery","Italian, North Indian, Biryani",Delivery,250.0
Yes,No,3.5,Vasanth Nagar,Quick Bites,"Chinese, North Indian",Delivery,75.0
Yes,No,4.1,Indiranagar,Casual Dining,North Indian,Delivery,475.0
Yes,No,3.1,Hennur,Quick Bites,"North Indian, Chinese",Delivery,150.0
Yes,No,3.6,Cunningham Road,Quick Bites,"Burger, Fast Food",Delivery,200.0
Yes,No,4.1,Indiranagar,Quick Bites,"Mexican, American, Fast Food",Delivery,300.0
Yes,No,4.4,Residency Road,Dessert Parlor,"Ice Cream, Desserts",Delivery,200.0
Yes,No,4.3,Hennur,Quick Bites,"Burger, Fast Food",Delivery,150.0
Yes,No,4.1,Frazer Town,Casual Dining,"Arabian, North Indian, Chinese, Beverages",Delivery,400.0
Yes,No,3.9,Ulsoor,Quick Bites,North Indian,Delivery,75.0
Yes,No,4.1,Indiranagar,"Sweet Shop, Quick Bites","Mithai, Street Food",Delivery,100.0
Yes,No,3.6,Nagawara,Quick Bites,"North Indian, Chinese, Arabian, Biryani, Rolls",Delivery,225.0
Yes,No,3.3,Frazer Town,Casual Dining,"Pizza, Fast Food",Delivery,375.0
Yes,No,4.1,Ulsoor,Quick Bites,"South Indian, North Indian, Chinese, Juices",Delivery,125.0
Yes,No,3.7,Frazer Town,Quick Bites,North Indian,Delivery,150.0
Yes,Yes,4.4,Frazer Town,Casual Dining,"Arabian, North Indian, Beverages",Delivery,375.0
Yes,No,3.7,Frazer Town,Quick Bites,"Mughlai, North Indian, Chinese",Delivery,200.0
Yes,No,3.6,Vasanth Nagar,Quick Bites,Biryani,Delivery,150.0
Yes,No,3.6,Kammanahalli,Quick Bites,"Fast Food, Beverages",Delivery,175.0
Yes,No,3.6,Ulsoor,Quick Bites,"North Indian, South Indian",Delivery,150.0
Yes,No,3.8,Frazer Town,Casual Dining,"North Indian, Chinese",Delivery,250.0
Yes,No,3.5,Ulsoor,Quick Bites,"Kerala, North Indian, Chinese",Delivery,150.0
Yes,No,3.7,Kammanahalli,Quick Bites,"Kerala, South Indian",Delivery,200.0
Yes,No,3.7,Kammanahalli,Kiosk,Arabian,Delivery,75.0
Yes,No,4.0,Indiranagar,Casual Dining,"North Indian, Chinese, Seafood",Delivery,350.0
Yes,No,2.6,Banaswadi,Quick Bites,"Italian, Pizza",Delivery,300.0
Yes,No,3.700448817952718,Banaswadi,Delivery,"Healthy Food, Continental, North Indian, Chinese",Delivery,250.0
Yes,No,3.9,Indiranagar,Casual Dining,"North Indian, Chinese, Biryani, Kebab, Juices",Delivery,400.0
Yes,Yes,4.1,Kammanahalli,Casual Dining,"Konkan, Mangalorean, Seafood",Delivery,275.0
Yes,No,4.3,Ulsoor,Casual Dining,"Biryani, North Indian, Kebab",Delivery,325.0
Yes,No,3.9,RT Nagar,Sweet Shop,"Mithai, Street Food",Delivery,200.0
Yes,No,3.0,Kalyan Nagar,Quick Bites,"Biryani, Kebab",Delivery,175.0
Yes,Yes,3.1,St. Marks Road,Quick Bites,"Biryani, Chinese, Fast Food, North Indian",Delivery,200.0
Yes,No,3.9,Kammanahalli,Quick Bites,"Chinese, Momos",Delivery,250.0
Yes,Yes,4.3,Indiranagar,Casual Dining,"Thai, Asian, Indonesian",Delivery,600.0
Yes,No,3.7,Race Course Road,Casual Dining,"Chinese, South Indian, North Indian",Delivery,450.0
Yes,Yes,4.3,Kammanahalli,Casual Dining,"Steak, Continental, Burger, American, BBQ, European, Salad",Delivery,750.0
Yes,No,4.1,Indiranagar,Casual Dining,"Chinese, North Indian, Kerala, Mangalorean, Seafood",Delivery,400.0
Yes,No,3.7,Kammanahalli,Quick Bites,"South Indian, North Indian, Chinese, Street Food, Juices",Delivery,150.0
Yes,No,4.2,Indiranagar,Casual Dining,"Chinese, Seafood",Delivery,550.0
Yes,No,3.2,MG Road,Delivery,"North Indian, BBQ, Biryani, Kebab",Delivery,225.0
Yes,No,4.2,Ulsoor,Cafe,"Pizza, Italian, Cafe, Burger, Finger Food, Fast Food, Sandwich",Delivery,250.0
Yes,Yes,4.3,Lavelle Road,Casual Dining,"Rajasthani, North Indian",Delivery,700.0
Yes,No,3.2,Lavelle Road,Beverage Shop,"Beverages, Fast Food",Delivery,200.0
Yes,Yes,4.1,Ulsoor,Cafe,"Cafe, Italian, Burger, American, Steak",Delivery,325.0
Yes,No,3.6,RT Nagar,Casual Dining,"Biryani, South Indian, North Indian, Chinese",Delivery,225.0
Yes,No,4.9,Brigade Road,Dessert Parlor,Desserts,Delivery,200.0
Yes,Yes,4.4,Lavelle Road,"Casual Dining, Irani Cafee","Parsi, North Indian",Delivery,650.0
Yes,Yes,3.8,St. Marks Road,Casual Dining,"Biryani, Kerala, Seafood, South Indian",Delivery,400.0
Yes,No,3.700448817952718,Kalyan Nagar,Delivery,Biryani,Delivery,250.0
Yes,No,3.6,Frazer Town,Quick Bites,"North Indian, Mughlai",Delivery,350.0
Yes,No,4.0,Indiranagar,"Quick Bites, Beverage Shop","Continental, Beverages",Delivery,350.0
Yes,No,4.0,Ulsoor,Casual Dining,"Biryani, Kebab",Delivery,375.0
Yes,Yes,4.2,Church Street,Casual Dining,"North Indian, Chinese, BBQ",Delivery,750.0
Yes,No,3.4,Ulsoor,Quick Bites,"North Indian, Chinese, Biryani",Delivery,200.0
Yes,No,3.6,Frazer Town,Casual Dining,"Chinese, Thai, Seafood",Delivery,300.0
Yes,No,3.9,Kammanahalli,Casual Dining,"Kerala, South Indian",Delivery,300.0
Yes,No,3.4,Kammanahalli,Quick Bites,South Indian,Delivery,150.0
Yes,No,3.8,Kammanahalli,Quick Bites,"Fast Food, Juices",Delivery,200.0
Yes,No,4.6,Lavelle Road,Casual Dining,"European, Italian, Desserts, Salad, Juices, Steak",Delivery,800.0
Yes,No,3.8,Kammanahalli,Casual Dining,"North Indian, Chinese",Delivery,300.0
Yes,No,3.9,Indiranagar,Bakery,Bakery,Delivery,250.0
Yes,No,3.6,Indiranagar,Delivery,North Indian,Delivery,250.0
Yes,No,3.8,Banaswadi,Quick Bites,"Pizza, Italian",Delivery,250.0
Yes,No,3.700448817952718,Frazer Town,Delivery,Biryani,Delivery,250.0
Yes,No,2.9,Banaswadi,Quick Bites,Pizza,Delivery,200.0
No,No,3.9,Frazer Town,Casual Dining,"Biryani, North Indian, Chinese",Delivery,300.0
Yes,No,3.7,Ulsoor,Quick Bites,"North Indian, Chinese",Delivery,150.0
Yes,No,4.1,Indiranagar,Casual Dining,"Seafood, South Indian, North Indian, Mangalorean, Chinese",Delivery,325.0
Yes,No,4.0,Richmond Road,Dessert Parlor,"Desserts, Beverages",Delivery,150.0
Yes,No,3.700448817952718,Kammanahalli,Delivery,"American, Continental",Delivery,100.0
Yes,No,4.2,Commercial Street,Casual Dining,"Nepalese, Tibetan, Momos",Delivery,400.0
Yes,No,3.9,Lavelle Road,Quick Bites,"Salad, Fast Food",Delivery,300.0
Yes,Yes,4.5,Church Street,"Casual Dining, Bar","Chinese, Momos",Delivery,850.0
Yes,Yes,4.3,MG Road,Cafe,"Cafe, Continental, Italian, Burger",Delivery,600.0
Yes,Yes,4.7,Cunningham Road,"Pub, Cafe","North Indian, Thai, Japanese, Continental, Cafe",Delivery,650.0
Yes,No,3.4,Ulsoor,Quick Bites,South Indian,Delivery,50.0
Yes,No,3.9,Frazer Town,Casual Dining,"Chinese, Thai, Momos",Delivery,250.0
Yes,No,3.9,Frazer Town,Quick Bites,"Arabian, Rolls, North Indian, BBQ",Delivery,200.0
Yes,No,4.1,Kammanahalli,"Takeaway, Delivery","Healthy Food, Desserts",Delivery,250.0
Yes,No,3.4,Kammanahalli,"Takeaway, Delivery","Fast Food, Desserts",Delivery,125.0
Yes,No,3.9,Frazer Town,Casual Dining,"Mughlai, North Indian, Chinese",Delivery,350.0
Yes,No,4.0,Residency Road,"Dessert Parlor, Quick Bites","Cafe, Fast Food, Desserts, Beverages",Delivery,200.0
Yes,No,4.2,Indiranagar,"Bakery, Cafe","Bakery, Cafe, Italian, Desserts",Delivery,300.0
Yes,No,3.6,Frazer Town,Delivery,Mughlai,Delivery,300.0
Yes,Yes,4.3,Brigade Road,"Bar, Casual Dining","Finger Food, Continental, Pizza",Delivery,800.0
Yes,No,3.9,Indiranagar,Casual Dining,"North Indian, Chinese, South Indian",Delivery,325.0
Yes,No,4.3,Ulsoor,Cafe,"Cafe, Continental, Italian, Burger, Beverages",Delivery,350.0
Yes,No,3.700448817952718,Ulsoor,Beverage Shop,"Beverages, Juices",Delivery,100.0
Yes,No,3.9,Indiranagar,Quick Bites,"South Indian, Biryani",Delivery,200.0
Yes,No,3.9,Commercial Street,"Beverage Shop, Dessert Parlor","Desserts, Beverages, Ice Cream",Delivery,200.0
Yes,No,4.0,BTM,Bakery,"Bakery, Desserts",Delivery,250.0
Yes,No,3.5,Frazer Town,Quick Bites,"Italian, Pizza",Delivery,150.0
Yes,No,3.1,Frazer Town,Casual Dining,Chinese,Delivery,500.0
Yes,No,3.700448817952718,RT Nagar,Beverage Shop,"Beverages, Ice Cream",Delivery,50.0
Yes,Yes,4.3,MG Road,Casual Dining,"Steak, Italian, Continental, American, Burger, BBQ, Salad",Delivery,750.0
Yes,No,4.0,Frazer Town,"Takeaway, Delivery","Fast Food, Burger, American",Delivery,325.0
Yes,Yes,4.5,Cunningham Road,Casual Dining,"Italian, Pizza, Salad",Delivery,650.0
Yes,No,3.700448817952718,Malleshwaram,Confectionery,Desserts,Delivery,100.0
Yes,No,3.9,Frazer Town,Casual Dining,"Biryani, North Indian, Mughlai",Delivery,300.0
Yes,Yes,4.4,Church Street,"Casual Dining, Bar","Bengali, Seafood",Delivery,600.0
Yes,No,3.9,Kammanahalli,Quick Bites,"Burger, BBQ",Delivery,275.0
Yes,No,3.8,HBR Layout,Quick Bites,Biryani,Delivery,150.0
Yes,No,4.1,Cunningham Road,Casual Dining,"Chinese, Continental, North Indian, Mughlai, Steak",Delivery,300.0
Yes,Yes,4.1,Cunningham Road,Casual Dining,"Andhra, Biryani, Chinese, North Indian, Seafood, South Indian",Delivery,550.0
Yes,No,3.1,Brigade Road,Food Court,"Rolls, Lebanese",Delivery,125.0
Yes,No,3.6,Brigade Road,Casual Dining,"Mangalorean, Seafood, North Indian, Chinese",Delivery,400.0
Yes,No,3.9,Church Street,"Beverage Shop, Cafe","Cafe, Tea, North Indian",Delivery,250.0
Yes,No,3.9,HBR Layout,Quick Bites,"South Indian, North Indian, Chinese",Delivery,150.0
Yes,No,3.3,Frazer Town,Quick Bites,"Fast Food, Street Food",Delivery,100.0
Yes,No,4.2,Indiranagar,Casual Dining,Thai,Delivery,400.0
Yes,No,3.7,Brigade Road,"Food Court, Quick Bites","Tibetan, Momos",Delivery,200.0
Yes,No,3.700448817952718,Frazer Town,Delivery,North Indian,Delivery,250.0
Yes,No,3.0,Frazer Town,Quick Bites,"Rolls, North Indian, Fast Food",Delivery,250.0
Yes,No,4.1,Frazer Town,Casual Dining,North Indian,Delivery,350.0
Yes,No,4.0,Indiranagar,Casual Dining,"North Indian, Chinese, South Indian",Delivery,450.0
Yes,No,4.3,St. Marks Road,Dessert Parlor,"Desserts, Ice Cream",Delivery,200.0
Yes,No,2.4,Kalyan Nagar,Quick Bites,"Fast Food, Burger, Pizza",Delivery,225.0
Yes,No,3.9,Ulsoor,Casual Dining,"North Indian, Chinese, Fast Food, Street Food",Delivery,250.0
Yes,No,3.5,Kammanahalli,Delivery,"American, Sandwich",Delivery,300.0
Yes,No,3.9,Indiranagar,Casual Dining,"North Indian, Street Food",Delivery,450.0
Yes,No,4.4,Brigade Road,Food Court,"Desserts, Beverages",Delivery,225.0
Yes,No,3.6,Brigade Road,Casual Dining,Kerala,Delivery,250.0
Yes,No,3.8,St. Marks Road,Casual Dining,"South Indian, North Indian, Chinese",Delivery,200.0
Yes,No,3.6,Kammanahalli,Quick Bites,"Kerala, South Indian, North Indian, Chinese",Delivery,225.0
Yes,No,3.7,Indiranagar,Quick Bites,"South Indian, North Indian, Chinese",Delivery,20.0
Yes,No,4.0,Kammanahalli,Quick Bites,"Naga, Goan, Seafood, Chinese",Delivery,275.0
Yes,No,3.700448817952718,Ulsoor,"Takeaway, Delivery","Momos, Chinese",Delivery,150.0
Yes,No,2.9,Ulsoor,Dessert Parlor,"Ice Cream, Bakery, Desserts",Delivery,100.0
Yes,No,3.8,Kammanahalli,Quick Bites,"South Indian, North Indian, Chinese, Street Food",Delivery,150.0
Yes,Yes,4.4,Lavelle Road,"Fine Dining, Lounge","Japanese, Asian",Delivery,1500.0
Yes,No,3.1,Church Street,Quick Bites,"Fast Food, Biryani, Rolls",Delivery,175.0
Yes,No,3.6,Kammanahalli,Quick Bites,"North Indian, Chinese, Kebab, Rolls",Delivery,150.0
Yes,No,4.1,Kammanahalli,Casual Dining,"Chinese, Malaysian",Delivery,350.0
Yes,No,4.0,Frazer Town,Bakery,Bakery,Delivery,125.0
Yes,No,3.3,Indiranagar,Quick Bites,Biryani,Delivery,100.0
Yes,No,4.3,Indiranagar,Quick Bites,"Cafe, Burger, Beverages",Delivery,325.0
Yes,No,2.7,Indiranagar,Casual Dining,Chinese,Delivery,350.0
Yes,No,3.700448817952718,Brigade Road,"Food Court, Quick Bites","Pizza, Fast Food",Delivery,200.0
Yes,No,4.0,Indiranagar,Quick Bites,"Sandwich, Fast Food, Momos",Delivery,100.0
Yes,No,3.700448817952718,Frazer Town,Delivery,North Indian,Delivery,250.0
Yes,No,3.9,Frazer Town,Casual Dining,"Chinese, Thai, Momos, Vietnamese",Delivery,400.0
Yes,No,4.0,Indiranagar,Dessert Parlor,Desserts,Delivery,150.0
Yes,No,3.4,Indiranagar,Casual Dining,"Andhra, South Indian, North Indian",Delivery,275.0
Yes,No,3.5,Indiranagar,Quick Bites,Andhra,Delivery,250.0
Yes,No,4.0,Indiranagar,Casual Dining,"Chettinad, South Indian",Delivery,375.0
Yes,Yes,4.1,Church Street,Casual Dining,North Indian,Delivery,300.0
Yes,No,3.9,Indiranagar,Cafe,"Fast Food, Cafe",Delivery,225.0
Yes,No,3.8,Indiranagar,"Dessert Parlor, Beverage Shop","Beverages, Juices, Ice Cream",Delivery,50.0
Yes,No,3.700448817952718,RT Nagar,Quick Bites,"North Indian, Chinese",Delivery,200.0
Yes,No,2.6,Indiranagar,Quick Bites,"Chinese, Tibetan",Delivery,250.0
Yes,No,3.700448817952718,Kammanahalli,Quick Bites,"Chinese, South Indian, Biryani",Delivery,150.0
Yes,No,4.0,Commercial Street,"Quick Bites, Beverage Shop","Fast Food, Pizza, Rolls, Beverages, Juices",Delivery,175.0
Yes,No,3.9,Ulsoor,Casual Dining,Chettinad,Delivery,300.0
Yes,Yes,3.700448817952718,Indiranagar,Casual Dining,"Continental, Italian, North Indian, Chinese",Delivery,500.0
Yes,Yes,4.3,Lavelle Road,"Casual Dining, Bar","Chinese, Momos",Delivery,650.0
Yes,Yes,4.6,St. Marks Road,"Casual Dining, Bar","Asian, Japanese, Korean, Indonesian, Malaysian, Singaporean",Delivery,850.0
Yes,No,3.7,Indiranagar,Casual Dining,"North Indian, Chinese, Biryani",Delivery,250.0
Yes,No,3.700448817952718,Church Street,Quick Bites,"Pizza, Burger, Coffee, Beverages",Delivery,250.0
Yes,No,4.2,Brigade Road,Dessert Parlor,"Ice Cream, Desserts",Delivery,90.0
Yes,Yes,4.2,Cunningham Road,Casual Dining,"North Indian, Chinese, Seafood",Delivery,850.0
Yes,No,2.8,Commercial Street,Casual Dining,Biryani,Delivery,300.0
Yes,No,3.7,Ulsoor,Bakery,"Bakery, Fast Food",Delivery,150.0
Yes,Yes,3.9,MG Road,Fine Dining,North Indian,Delivery,1050.0
Yes,No,3.9,Kammanahalli,Casual Dining,"Andhra, North Indian, Chinese",Delivery,300.0
Yes,No,3.9,Frazer Town,Casual Dining,"Mediterranean, Arabian, Lebanese",Delivery,350.0
Yes,No,3.2,Ulsoor,Quick Bites,North Indian,Delivery,150.0
Yes,No,3.9,Frazer Town,Dessert Parlor,"Ice Cream, Desserts",Delivery,250.0
Yes,No,4.0,Kammanahalli,Cafe,"Cafe, Burger, Italian, Salad",Delivery,500.0
Yes,No,3.8,HBR Layout,Casual Dining,"Chinese, Momos",Delivery,275.0
Yes,No,4.3,Ulsoor,Casual Dining,Japanese,Delivery,1000.0
Yes,No,3.4,Banaswadi,Casual Dining,"North Indian, Chinese, Andhra",Delivery,250.0
Yes,No,4.2,Cunningham Road,Casual Dining,"Awadhi, Bengali, North Indian",Delivery,750.0
Yes,No,3.2,Shivajinagar,Quick Bites,"North Indian, Chinese",Delivery,175.0
Yes,No,3.7,Banaswadi,Quick Bites,Chinese,Delivery,225.0
Yes,No,4.3,Church Street,Lounge,"American, North Indian, Chinese, Finger Food, Momos",Delivery,750.0
Yes,Yes,4.0,Brigade Road,Casual Dining,"North Indian, Mughlai",Delivery,350.0
Yes,No,3.0,Kammanahalli,Casual Dining,"Thai, Vietnamese, Indonesian, Asian",Delivery,275.0
Yes,No,3.7,Frazer Town,Quick Bites,"Pizza, Fast Food",Delivery,200.0
Yes,No,3.5,Ulsoor,Beverage Shop,"Beverages, Ice Cream",Delivery,75.0
Yes,No,4.1,Cunningham Road,Casual Dining,"North Indian, Mughlai, Arabian, Chinese",Delivery,375.0
Yes,No,4.0,Ulsoor,Casual Dining,"Kerala, Seafood",Delivery,650.0
Yes,Yes,4.3,Indiranagar,Casual Dining,"Mangalorean, Seafood",Delivery,500.0
Yes,No,3.0,Indiranagar,Casual Dining,"South Indian, North Indian, Chinese, Street Food, Fast Food",Delivery,200.0
Yes,No,3.6,Kammanahalli,Casual Dining,"Chettinad, Mangalorean, South Indian, North Indian",Delivery,300.0
Yes,Yes,4.2,Church Street,Casual Dining,"Italian, American, Steak, Continental, BBQ, Salad",Delivery,500.0
Yes,No,4.3,Frazer Town,Casual Dining,"Mangalorean, Seafood",Delivery,350.0
Yes,No,4.0,Frazer Town,Casual Dining,"North Indian, Chinese, Mughlai, Kebab",Delivery,250.0
Yes,No,3.2,Kammanahalli,"Dessert Parlor, Bakery","Ice Cream, Desserts, Bakery",Delivery,100.0
Yes,No,3.7,Ulsoor,Quick Bites,Burmese,Delivery,150.0
Yes,Yes,4.3,Residency Road,"Casual Dining, Cafe","Italian, Salad, Healthy Food, Cafe, Asian, Desserts, Pizza",Delivery,400.0
Yes,No,4.3,Church Street,Lounge,"Continental, Mediterranean, European",Delivery,650.0
Yes,No,3.0,Frazer Town,Delivery,"North Indian, Chinese",Delivery,250.0
Yes,No,3.9,Kammanahalli,Quick Bites,"North Indian, Continental",Delivery,200.0
Yes,No,3.9,St. Marks Road,Casual Dining,"North Indian, Chinese, Fast Food",Delivery,250.0
Yes,No,4.2,St. Marks Road,Casual Dining,"Continental, American",Delivery,375.0
Yes,No,3.6,Kammanahalli,Quick Bites,"Fast Food, Burger",Delivery,100.0
Yes,No,4.2,Vasanth Nagar,Cafe,"Cafe, Continental, Fast Food",Delivery,250.0
Yes,Yes,3.9,Brigade Road,"Casual Dining, Bar","Mughlai, North Indian, Desserts",Delivery,650.0
Yes,No,3.7,Frazer Town,Quick Bites,"Fast Food, Burger",Delivery,100.0
Yes,No,3.9,Frazer Town,Casual Dining,"Arabian, Middle Eastern",Delivery,350.0
Yes,No,3.5,RT Nagar,Casual Dining,"Chinese, North Indian",Delivery,250.0
Yes,No,3.5,Frazer Town,Casual Dining,"Chinese, Momos",Delivery,350.0
